time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),v(N012),v(N013),v(N014),v(N015),v(N016),v(N017),@ddiode7_1[id],@ddiode7_2[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id],@ddiode7_6[id],@ddiode7_7[id],@dled12_1[id],@dled12_2[id],@dled12_3[id]
0.0,0.0,9.0,1.1648171,7.47253762,5.63245021e-08,8.99984187,8.99992094,8.99985244,8.99999991,8.99992618,7.39560011,1.16481109,0.82792439,0.141229878,8.07671044e-08,7.40674936,8.99999986,-6.00630391e-09,-9.66118173e-12,9.66078568e-12,9.66118173e-12,-9.00985244e-12,9.00916378e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01422802e-09
1e-05,0.0,9.0,1.16481676,7.47253762,5.63245019e-08,8.99984187,8.99992093,8.99985243,8.99999991,8.99992617,7.39560011,1.16481075,0.82792439,0.141229878,8.07671043e-08,7.40674936,8.99999986,-6.00635365e-09,-9.66118169e-12,9.66203394e-12,9.66118169e-12,-9.00985243e-12,9.01329232e-12,9.00985243e-12,0.00725437023,6.57942708e-05,6.01418893e-09
2e-05,0.0,9.0,1.16481658,7.47253762,5.63245022e-08,8.99984187,8.99992094,8.99985243,8.99999991,8.99992617,7.39560011,1.16481056,0.82792439,0.141229878,8.07671046e-08,7.40674936,8.99999986,-6.00633165e-09,-9.66118178e-12,9.658151e-12,9.66118178e-12,-9.00985243e-12,9.01184671e-12,9.00985243e-12,0.00725437023,6.57942708e-05,6.01416714e-09
4e-05,0.0,9.0,1.16481637,7.47253762,5.63245025e-08,8.99984188,8.99992095,8.99985242,8.99999991,8.99992616,7.39560011,1.16481035,0.82792439,0.141229878,8.07671049e-08,7.40674936,8.99999986,-6.00630726e-09,-9.66118187e-12,9.65988205e-12,9.66118187e-12,-9.00985242e-12,9.01225136e-12,9.00985242e-12,0.00725437023,6.57942708e-05,6.01414271e-09
8e-05,0.0,9.0,1.16481633,7.47253762,5.63245025e-08,8.99984188,8.99992095,8.99985242,8.99999991,8.99992616,7.39560011,1.16481032,0.82792439,0.141229878,8.07671048e-08,7.40674936,8.99999986,-6.00630319e-09,-9.66118186e-12,9.65978668e-12,9.66118186e-12,-9.00985242e-12,9.01248937e-12,9.00985242e-12,0.00725437023,6.57942708e-05,6.01413856e-09
0.00016,0.0,9.0,1.16481634,7.47253762,5.63245022e-08,8.99984187,8.99992094,8.99985241,8.99999991,8.99992615,7.39560011,1.16481033,0.82792439,0.141229878,8.07671045e-08,7.40674936,8.99999986,-6.00630423e-09,-9.66118177e-12,9.6610979e-12,9.66118177e-12,-9.00985241e-12,9.01291318e-12,9.00985241e-12,0.00725437023,6.57942708e-05,6.01413977e-09
0.00032,0.0,9.0,1.16481633,7.47253762,5.63245016e-08,8.99984186,8.99992093,8.99985241,8.99999991,8.99992615,7.39560011,1.16481032,0.82792439,0.141229878,8.0767104e-08,7.40674936,8.99999986,-6.00630371e-09,-9.66118159e-12,9.66178818e-12,9.66118159e-12,-9.00985241e-12,9.01291178e-12,9.00985241e-12,0.00725437023,6.57942708e-05,6.01413893e-09
0.00064,0.0,9.0,1.16481634,7.47253762,5.63245021e-08,8.99984187,8.99992094,8.99985244,8.99999991,8.99992618,7.39560011,1.16481032,0.82792439,0.141229878,8.07671044e-08,7.40674936,8.99999986,-6.00630405e-09,-9.66118173e-12,9.66058108e-12,9.66118173e-12,-9.00985244e-12,9.00851018e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.0141395e-09
0.00128,0.0,9.0,1.16481633,7.47253762,5.63245026e-08,8.99984188,8.99992095,8.99985242,8.99999991,8.99992616,7.39560011,1.16481032,0.82792439,0.141229878,8.0767105e-08,7.40674936,8.99999986,-6.00630378e-09,-9.6611819e-12,9.65953456e-12,9.6611819e-12,-9.00985242e-12,9.01210403e-12,9.00985242e-12,0.00725437023,6.57942708e-05,6.01413908e-09
0.00228,0.0,9.0,1.16481634,7.47253762,5.63245028e-08,8.99984189,8.99992095,8.99985243,8.99999991,8.99992617,7.39560011,1.16481032,0.82792439,0.141229878,8.07671052e-08,7.40674936,8.99999986,-6.00630403e-09,-9.66118196e-12,9.65898016e-12,9.66118196e-12,-9.00985243e-12,9.00958939e-12,9.00985243e-12,0.00725437023,6.57942708e-05,6.01413934e-09
