class_name,component_class_name,diagram_id,display_name,display_terminal_id,edge_id,implicit_reason,instance_id,is_implicit_supply,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_implicit_reason,net_index,net_is_implicit_supply,relation_type,relative_position,semantic_terminal_name,snap_point,source,target,terminal_id,terminal_name
Battery,,15,,,edge:15:diagram_to_component:2.1,,2.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:15,component:15:2.1,,
GND,,15,,,edge:15:diagram_to_component:9.1,,9.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:15,component:15:9.1,,
Switch,,15,,,edge:15:diagram_to_component:25.1,,25.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:15,component:15:25.1,,
GND,,15,,,edge:15:diagram_to_component:9.2,,9.2,,,,,,,,,,,HAS_COMPONENT,,,,diagram:15,component:15:9.2,,
Connector,,15,,,edge:15:diagram_to_component:5.1,,5.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:15,component:15:5.1,,
Lamp,,15,,,edge:15:diagram_to_component:13.1,,13.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:15,component:15:13.1,,
Resistor,,15,,,edge:15:diagram_to_component:22.1,,22.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:15,component:15:22.1,,
GND,,15,,,edge:15:diagram_to_component:9.3,,9.3,,,,,,,,,,,HAS_COMPONENT,,,,diagram:15,component:15:9.3,,
GND,,15,,,edge:15:diagram_to_component:9.4,,9.4,,,,,,,,,,,HAS_COMPONENT,,,,diagram:15,component:15:9.4,,
LED,,15,,,edge:15:diagram_to_component:12.1,,12.1,,,,,,,,,,,HAS_COMPONENT,,,,diagram:15,component:15:12.1,,
,,15,,,edge:15:diagram_to_net:N1,,,False,,,,,,N1,,1,,HAS_NET,,,,diagram:15,net:15:N1,,
,,15,,,edge:15:diagram_to_net:N2,,,False,,,,,,N2,,2,,HAS_NET,,,,diagram:15,net:15:N2,,
,,15,,,edge:15:diagram_to_net:N3,,,False,,,,,,N3,,3,,HAS_NET,,,,diagram:15,net:15:N3,,
,,15,,,edge:15:diagram_to_net:N4,,,False,,,,,,N4,,4,,HAS_NET,,,,diagram:15,net:15:N4,,
,,15,,,edge:15:diagram_to_net:N5,,,False,,,,,,N5,,5,,HAS_NET,,,,diagram:15,net:15:N5,,
,,15,,,edge:15:diagram_to_net:N6,,,False,,,,,,N6,,6,,HAS_NET,,,,diagram:15,net:15:N6,,
,,15,,,edge:15:diagram_to_net:N7,,,False,,,,,,N7,,7,,HAS_NET,,,,diagram:15,net:15:N7,,
,,15,,,edge:15:diagram_to_net:N8,,,False,,,,,,N8,,8,,HAS_NET,,,,diagram:15,net:15:N8,,
,,15,,,edge:15:diagram_to_net:N9,,,False,,,,,,N9,,9,,HAS_NET,,,,diagram:15,net:15:N9,,
,,15,positive,2.1:positive,edge:15:component:2.1:terminal:2.1:t1,,2.1,,,,,,,,,,,HAS_TERMINAL,top,positive,,component:15:2.1,terminal:15:2.1:t1,2.1:t1,t1
,,15,negative,2.1:negative,edge:15:component:2.1:terminal:2.1:t2,,2.1,,,,,,,,,,,HAS_TERMINAL,bottom,negative,,component:15:2.1,terminal:15:2.1:t2,2.1:t2,t2
,,15,t1,9.1:t1,edge:15:component:9.1:terminal:9.1:t1,,9.1,,,,,,,,,,,HAS_TERMINAL,top,,,component:15:9.1,terminal:15:9.1:t1,9.1:t1,t1
,,15,t1,25.1:t1,edge:15:component:25.1:terminal:25.1:t1,,25.1,,,,,,,,,,,HAS_TERMINAL,left,,,component:15:25.1,terminal:15:25.1:t1,25.1:t1,t1
,,15,t2,25.1:t2,edge:15:component:25.1:terminal:25.1:t2,,25.1,,,,,,,,,,,HAS_TERMINAL,right,,,component:15:25.1,terminal:15:25.1:t2,25.1:t2,t2
,,15,t1,9.2:t1,edge:15:component:9.2:terminal:9.2:t1,,9.2,,,,,,,,,,,HAS_TERMINAL,top,,,component:15:9.2,terminal:15:9.2:t1,9.2:t1,t1
,,15,pin1,5.1:pin1,edge:15:component:5.1:terminal:5.1:pin1,,5.1,,,,,,,,,,,HAS_TERMINAL,left,,,component:15:5.1,terminal:15:5.1:pin1,5.1:pin1,pin1
,,15,pin2,5.1:pin2,edge:15:component:5.1:terminal:5.1:pin2,,5.1,,,,,,,,,,,HAS_TERMINAL,right,,,component:15:5.1,terminal:15:5.1:pin2,5.1:pin2,pin2
,,15,pin3,5.1:pin3,edge:15:component:5.1:terminal:5.1:pin3,,5.1,,,,,,,,,,,HAS_TERMINAL,right,,,component:15:5.1,terminal:15:5.1:pin3,5.1:pin3,pin3
,,15,pin4,5.1:pin4,edge:15:component:5.1:terminal:5.1:pin4,,5.1,,,,,,,,,,,HAS_TERMINAL,left,,,component:15:5.1,terminal:15:5.1:pin4,5.1:pin4,pin4
,,15,t1,13.1:t1,edge:15:component:13.1:terminal:13.1:t1,,13.1,,,,,,,,,,,HAS_TERMINAL,left,,,component:15:13.1,terminal:15:13.1:t1,13.1:t1,t1
,,15,t2,13.1:t2,edge:15:component:13.1:terminal:13.1:t2,,13.1,,,,,,,,,,,HAS_TERMINAL,right,,,component:15:13.1,terminal:15:13.1:t2,13.1:t2,t2
,,15,t1,22.1:t1,edge:15:component:22.1:terminal:22.1:t1,,22.1,,,,,,,,,,,HAS_TERMINAL,left,,,component:15:22.1,terminal:15:22.1:t1,22.1:t1,t1
,,15,t2,22.1:t2,edge:15:component:22.1:terminal:22.1:t2,,22.1,,,,,,,,,,,HAS_TERMINAL,right,,,component:15:22.1,terminal:15:22.1:t2,22.1:t2,t2
,,15,t1,9.3:t1,edge:15:component:9.3:terminal:9.3:t1,,9.3,,,,,,,,,,,HAS_TERMINAL,top,,,component:15:9.3,terminal:15:9.3:t1,9.3:t1,t1
,,15,t1,9.4:t1,edge:15:component:9.4:terminal:9.4:t1,,9.4,,,,,,,,,,,HAS_TERMINAL,top,,,component:15:9.4,terminal:15:9.4:t1,9.4:t1,t1
,,15,anode,12.1:anode,edge:15:component:12.1:terminal:12.1:t1,,12.1,,,,,,,,,,,HAS_TERMINAL,top,anode,,component:15:12.1,terminal:15:12.1:t1,12.1:t1,t1
,,15,cathode,12.1:cathode,edge:15:component:12.1:terminal:12.1:t2,,12.1,,,,,,,,,,,HAS_TERMINAL,bottom,cathode,,component:15:12.1,terminal:15:12.1:t2,12.1:t2,t2
,Battery,15,,2.1:positive,edge:15:terminal:2.1:t1:net:N2,,,,False,ok,1.0,matched_preferred,[],N2,,2,False,CONNECTED_TO,,positive,"[66, 358]",terminal:15:2.1:t1,net:15:N2,2.1:t1,
,Battery,15,,2.1:negative,edge:15:terminal:2.1:t2:net:N1,,,,False,ok,1.0,matched_preferred,[],N1,,1,False,CONNECTED_TO,,negative,"[66, 458]",terminal:15:2.1:t2,net:15:N1,2.1:t2,
,GND,15,,9.1:t1,edge:15:terminal:9.1:t1:net:N1,,,,False,ok,1.0,matched_preferred,[],N1,,1,False,CONNECTED_TO,,,"[66, 638]",terminal:15:9.1:t1,net:15:N1,9.1:t1,
,Switch,15,,25.1:t1,edge:15:terminal:25.1:t1:net:N2,,,,False,ok,1.0,matched_preferred,[],N2,,2,False,CONNECTED_TO,,,"[77, 113]",terminal:15:25.1:t1,net:15:N2,25.1:t1,
,Switch,15,,25.1:t2,edge:15:terminal:25.1:t2:net:N3,,,,False,ok,1.0,matched_preferred,[],N3,,3,False,CONNECTED_TO,,,"[249, 113]",terminal:15:25.1:t2,net:15:N3,25.1:t2,
,GND,15,,9.2:t1,edge:15:terminal:9.2:t1:net:N4,,,,False,ok,0.0,matched_preferred,[],N4,,4,False,CONNECTED_TO,,,"[300, 538]",terminal:15:9.2:t1,net:15:N4,9.2:t1,
,Connector,15,,5.1:pin1,edge:15:terminal:5.1:pin1:net:N3,,,,False,ok,0.0,matched_preferred,[],N3,,3,False,CONNECTED_TO,,,"[372, 114]",terminal:15:5.1:pin1,net:15:N3,5.1:pin1,
,Connector,15,,5.1:pin2,edge:15:terminal:5.1:pin2:net:N6,,,,False,ok,0.0,matched_preferred,[],N6,,6,False,CONNECTED_TO,,,"[478, 244]",terminal:15:5.1:pin2,net:15:N6,5.1:pin2,
,Connector,15,,5.1:pin3,edge:15:terminal:5.1:pin3:net:N5,,,,False,ok,0.0,matched_preferred,[],N5,,5,False,CONNECTED_TO,,,"[478, 374]",terminal:15:5.1:pin3,net:15:N5,5.1:pin3,
,Connector,15,,5.1:pin4,edge:15:terminal:5.1:pin4:net:N4,,,,False,ok,0.0,matched_preferred,[],N4,,4,False,CONNECTED_TO,,,"[372, 504]",terminal:15:5.1:pin4,net:15:N4,5.1:pin4,
,Lamp,15,,13.1:t1,edge:15:terminal:13.1:t1:net:N5,,,,False,ok,2.0,matched_preferred,[],N5,,5,False,CONNECTED_TO,,,"[652, 374]",terminal:15:13.1:t1,net:15:N5,13.1:t1,
,Lamp,15,,13.1:t2,edge:15:terminal:13.1:t2:net:N7,,,,False,ok,2.0,matched_preferred,[],N7,,7,False,CONNECTED_TO,,,"[815, 374]",terminal:15:13.1:t2,net:15:N7,13.1:t2,
,Resistor,15,,22.1:t1,edge:15:terminal:22.1:t1:net:N6,,,,False,ok,1.0,matched_preferred,[],N6,,6,False,CONNECTED_TO,,,"[687, 243]",terminal:15:22.1:t1,net:15:N6,22.1:t1,
,Resistor,15,,22.1:t2,edge:15:terminal:22.1:t2:net:N8,,,,False,ok,1.0,matched_preferred,[],N8,,8,False,CONNECTED_TO,,,"[858, 243]",terminal:15:22.1:t2,net:15:N8,22.1:t2,
,GND,15,,9.3:t1,edge:15:terminal:9.3:t1:net:N7,,,,False,ok,0.0,matched_preferred,[],N7,,7,False,CONNECTED_TO,,,"[859, 511]",terminal:15:9.3:t1,net:15:N7,9.3:t1,
,GND,15,,9.4:t1,edge:15:terminal:9.4:t1:net:N9,,,,False,ok,0.0,matched_preferred,[],N9,,9,False,CONNECTED_TO,,,"[911, 665]",terminal:15:9.4:t1,net:15:N9,9.4:t1,
,LED,15,,12.1:anode,edge:15:terminal:12.1:t1:net:N8,,,,False,ok,0.0,matched_preferred,[],N8,,8,False,CONNECTED_TO,,anode,"[911, 367]",terminal:15:12.1:t1,net:15:N8,12.1:t1,
,LED,15,,12.1:cathode,edge:15:terminal:12.1:t2:net:N9,,,,False,ok,0.0,matched_preferred,[],N9,,9,False,CONNECTED_TO,,cathode,"[911, 511]",terminal:15:12.1:t2,net:15:N9,12.1:t2,
