class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
Terminal,,1,edge:1:diagram_to_component:26.1,26.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:26.1,,
Current_Source,,1,edge:1:diagram_to_component:6.1,6.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:6.1,,
Polarized_Capacitor,,1,edge:1:diagram_to_component:20.1,20.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:20.1,,
Resistor,,1,edge:1:diagram_to_component:22.1,22.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:22.1,,
Polarized_Capacitor,,1,edge:1:diagram_to_component:20.2,20.2,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:20.2,,
Terminal,,1,edge:1:diagram_to_component:26.2,26.2,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:26.2,,
Terminal,,1,edge:1:diagram_to_component:26.3,26.3,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:26.3,,
Switch,,1,edge:1:diagram_to_component:25.1,25.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:25.1,,
Current_Source,,1,edge:1:diagram_to_component:6.2,6.2,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:6.2,,
Resistor,,1,edge:1:diagram_to_component:22.2,22.2,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:22.2,,
GND,,1,edge:1:diagram_to_component:9.1,9.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:9.1,,
Polarized_Capacitor,,1,edge:1:diagram_to_component:20.3,20.3,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:20.3,,
Polarized_Capacitor,,1,edge:1:diagram_to_component:20.4,20.4,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:20.4,,
Voltage_Source,,1,edge:1:diagram_to_component:31.1,31.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:31.1,,
Polarized_Capacitor,,1,edge:1:diagram_to_component:20.5,20.5,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:20.5,,
Current_Source,,1,edge:1:diagram_to_component:6.3,6.3,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:6.3,,
Terminal,,1,edge:1:diagram_to_component:26.4,26.4,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:26.4,,
,,1,edge:1:diagram_to_net:N1,,,,,,,N1,1,HAS_NET,,,diagram:1,net:1:N1,,
,,1,edge:1:diagram_to_net:N2,,,,,,,N2,2,HAS_NET,,,diagram:1,net:1:N2,,
,,1,edge:1:diagram_to_net:N3,,,,,,,N3,3,HAS_NET,,,diagram:1,net:1:N3,,
,,1,edge:1:diagram_to_net:N4,,,,,,,N4,4,HAS_NET,,,diagram:1,net:1:N4,,
,,1,edge:1:diagram_to_net:N5,,,,,,,N5,5,HAS_NET,,,diagram:1,net:1:N5,,
,,1,edge:1:diagram_to_net:N6,,,,,,,N6,6,HAS_NET,,,diagram:1,net:1:N6,,
,,1,edge:1:component:26.1:terminal:26.1:t1,26.1,,,,,,,,HAS_TERMINAL,right,,component:1:26.1,terminal:1:26.1:t1,26.1:t1,t1
,,1,edge:1:component:6.1:terminal:6.1:t1,6.1,,,,,,,,HAS_TERMINAL,top,,component:1:6.1,terminal:1:6.1:t1,6.1:t1,t1
,,1,edge:1:component:6.1:terminal:6.1:t2,6.1,,,,,,,,HAS_TERMINAL,bottom,,component:1:6.1,terminal:1:6.1:t2,6.1:t2,t2
,,1,edge:1:component:20.1:terminal:20.1:t1,20.1,,,,,,,,HAS_TERMINAL,top,,component:1:20.1,terminal:1:20.1:t1,20.1:t1,t1
,,1,edge:1:component:20.1:terminal:20.1:t2,20.1,,,,,,,,HAS_TERMINAL,bottom,,component:1:20.1,terminal:1:20.1:t2,20.1:t2,t2
,,1,edge:1:component:22.1:terminal:22.1:t1,22.1,,,,,,,,HAS_TERMINAL,left,,component:1:22.1,terminal:1:22.1:t1,22.1:t1,t1
,,1,edge:1:component:22.1:terminal:22.1:t2,22.1,,,,,,,,HAS_TERMINAL,right,,component:1:22.1,terminal:1:22.1:t2,22.1:t2,t2
,,1,edge:1:component:20.2:terminal:20.2:t1,20.2,,,,,,,,HAS_TERMINAL,left,,component:1:20.2,terminal:1:20.2:t1,20.2:t1,t1
,,1,edge:1:component:20.2:terminal:20.2:t2,20.2,,,,,,,,HAS_TERMINAL,right,,component:1:20.2,terminal:1:20.2:t2,20.2:t2,t2
,,1,edge:1:component:26.2:terminal:26.2:t1,26.2,,,,,,,,HAS_TERMINAL,bottom,,component:1:26.2,terminal:1:26.2:t1,26.2:t1,t1
,,1,edge:1:component:26.3:terminal:26.3:t1,26.3,,,,,,,,HAS_TERMINAL,top,,component:1:26.3,terminal:1:26.3:t1,26.3:t1,t1
,,1,edge:1:component:25.1:terminal:25.1:t1,25.1,,,,,,,,HAS_TERMINAL,left,,component:1:25.1,terminal:1:25.1:t1,25.1:t1,t1
,,1,edge:1:component:25.1:terminal:25.1:t2,25.1,,,,,,,,HAS_TERMINAL,right,,component:1:25.1,terminal:1:25.1:t2,25.1:t2,t2
,,1,edge:1:component:6.2:terminal:6.2:t1,6.2,,,,,,,,HAS_TERMINAL,left,,component:1:6.2,terminal:1:6.2:t1,6.2:t1,t1
