time,v(H1_GATE),v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),@ddiode7_1[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id]
0.0,7.99174946,5.98049913e-06,0.017108383,0.0,7.99175086,3.08175722e-07,0.823886473,0.420271521,7.99999176,8.0,0.0,1.2358327,-4.11473724e-09,-1.40079874e-08,-1.40079874e-08,5.98479668e-08
1e-06,7.9917551,0.00664376035,0.0227560494,0.00666432322,7.99175097,0.00666340929,0.823887061,0.423046758,7.99999176,8.0,0.0,1.23583326,2.1038585e-08,4.12953768e-08,4.15526562e-08,5.37602063e-08
1.54209229e-06,7.99175512,0.0102522495,0.0255635453,0.0102770012,7.99175097,0.0102760865,0.823887282,0.424413979,7.99999176,8.0,0.0,1.23583347,3.35167375e-08,4.15148132e-08,4.1579682e-08,5.09926964e-08
2.62627686e-06,7.99175513,0.017470021,0.0306964912,0.0175023562,7.99175097,0.0175014412,0.823887722,0.426918785,7.99999176,8.0,0.0,1.23583389,5.65395172e-08,4.15611605e-08,4.16132479e-08,4.6286869e-08
4.79464602e-06,7.99175513,0.0319089568,0.0385376052,0.0319530592,7.99175098,0.031952144,0.823888312,0.430720763,7.99999176,8.0,0.0,1.23583444,9.2614034e-08,4.1608051e-08,4.16468495e-08,3.99603894e-08
9.13138432e-06,7.99175516,0.0607949011,0.0480753361,0.0608544141,7.99175099,0.0608534956,0.823888846,0.435248937,7.99999176,8.0,0.0,1.23583495,1.38615488e-07,4.17268506e-08,4.1747851e-08,3.35434265e-08
1.44585656e-05,7.99175518,0.0962858158,0.0545327435,0.0963562245,7.991751,0.0963553039,0.823889179,0.438277512,7.99999176,8.0,0.0,1.23583526,1.71530307e-07,4.18338001e-08,4.18475081e-08,2.98374144e-08
2.3123202e-05,7.99175521,0.154010307,0.064768193,0.154099139,7.99175101,0.154098215,0.823889627,0.44297293,7.99999176,8.0,0.0,1.23583568,2.27385259e-07,4.20173401e-08,4.20398875e-08,2.48845366e-08
3.68863476e-05,7.99175526,0.245663357,0.0956519571,0.245817045,7.99175103,0.245816114,0.823890496,0.455729726,7.99999176,8.0,0.0,1.2358365,4.23480996e-07,4.22616529e-08,4.2319387e-08,1.51967315e-08
6.43244352e-05,7.99175537,0.428353468,0.227678998,0.428649658,7.99175108,0.428648714,0.823891152,0.472522257,7.99999176,8.0,0.0,1.23583712,8.55383575e-07,4.28874699e-08,4.29195333e-08,7.93977918e-09
9.45556151e-05,7.99175549,0.629756561,0.425092867,0.63005652,7.99175113,0.630055561,0.823891163,0.472733967,7.99999176,8.0,0.0,1.23583714,8.65361113e-07,4.36051552e-08,4.35773073e-08,7.87506134e-09
0.000124678198,7.99175561,0.83038205,0.627519007,0.830683381,7.99175118,0.830682407,0.823891168,0.472734406,7.99999176,8.0,0.0,1.23583715,8.68883143e-07,4.42413701e-08,4.42721713e-08,7.8749294e-09
0.000162788339,7.99175576,1.08409819,0.879702038,1.08440128,7.99175125,1.08440029,0.823891175,0.472734823,7.99999176,8.0,0.0,1.23583716,8.73266665e-07,4.51832279e-08,4.51555099e-08,7.87480428e-09
0.00023534459,7.99175606,1.56667745,1.36276344,1.56698388,7.99175137,1.56698285,0.823891187,0.472735623,7.99999176,8.0,0.0,1.23583717,8.81663468e-07,4.692547e-08,4.69564723e-08,7.87456467e-09
0.000333643174,7.9917565,2.21912568,2.01380561,2.21943675,7.99175153,2.21943566,0.823891204,0.472736701,7.99999176,8.0,0.0,1.2358372,8.92981229e-07,4.96540766e-08,4.9626747e-08,7.87424175e-09
0.000433643174,7.99175697,2.88069147,2.67542621,2.88100734,7.9917517,2.88100618,0.823891221,0.472737796,7.99999176,8.0,0.0,1.23583723,9.04483699e-07,5.27060264e-08,5.27375672e-08,7.87391361e-09
0.000533643174,7.9917575,3.53941388,3.33296061,3.53973472,7.99175187,3.53973348,0.823891239,0.472738884,7.99999176,8.0,0.0,1.23583725,9.1591621e-07,5.63160174e-08,5.62893991e-08,7.87358754e-09
0.000633643174,7.99175808,4.19464285,3.98808833,4.19496881,7.99175203,4.19496748,0.823891256,0.472739969,7.99999176,8.0,0.0,1.23583728,9.27307754e-07,6.0469448e-08,6.0501916e-08,7.87326268e-09
0.000733643174,7.99175876,4.84573159,4.63816172,4.84606298,7.9917522,4.84606153,0.823891274,0.472741045,7.99999176,8.0,0.0,1.2358373,9.3861242e-07,6.55759732e-08,6.55506457e-08,7.87294038e-09
0.000833643174,7.99175956,5.4920375,5.28425922,5.49237466,7.99175237,5.49237308,0.823891291,0.472742115,7.99999176,8.0,0.0,1.23583733,9.49848837e-07,7.18437676e-08,7.18780773e-08,7.87262009e-09
0.000933643174,7.99176056,6.13292248,5.92426192,6.13326603,7.99175255,6.13326427,0.823891309,0.472743175,7.99999176,8.0,0.0,1.23583736,9.60980215e-07,8.00969182e-08,8.00744424e-08,7.87230291e-09
0.00103364317,7.99176186,6.76775368,6.55881306,6.76810461,7.99175272,6.7681026,0.823891327,0.472744227,7.99999176,8.0,0.0,1.23583738,9.72017662e-07,9.140062e-08,9.14397044e-08,7.87198854e-09
0.00113364317,7.99176378,7.39590367,7.18618538,7.39626389,7.99175291,7.3962615,0.823891347,0.472745267,7.99999176,8.0,0.0,1.23583741,9.82931164e-07,1.08647059e-07,1.08633881e-07,7.87167793e-09
0.00123364317,7.99176951,8.0167421,7.80669801,8.01712395,7.99175317,8.01712035,0.823891374,0.472746299,7.99999176,8.0,0.0,1.23583745,9.93726334e-07,1.63403341e-07,1.63665539e-07,7.87137191e-09
0.00133364317,8.02741828,8.52048045,8.30959791,8.63007207,7.99430946,8.58111464,0.824154905,0.472878826,7.99999432,8.0,0.0,1.23623275,1.00759066e-06,0.000331440236,0.00222533787,7.91133943e-09
0.00143364317,8.16726546,8.7369756,8.52400335,9.23450336,8.0166052,8.7210483,0.826453402,0.47402786,8.00001659,8.0,0.0,1.23968052,1.05724464e-06,0.00154767748,0.023381195,8.27084263e-09
0.00153364317,8.31855421,8.91771675,8.70192888,9.82982131,8.0422705,8.78483812,0.829099271,0.475350439,8.00004223,8.0,0.0,1.24364934,1.11609596e-06,0.00276336605,0.0475491551,8.70498677e-09
0.00163364317,8.47555214,9.09290372,8.87400785,10.4154384,8.07490351,8.84004195,0.832463446,0.477032006,8.00007483,8.0,0.0,1.24869563,1.19455251e-06,0.00400648792,0.0727241236,9.29008247e-09
0.00173364317,8.70394382,9.33283735,9.10177963,10.9907767,8.20169229,8.98033874,0.845534215,0.483565058,8.00020149,8.0,0.0,1.26830192,1.54362594e-06,0.00502260842,0.0918148376,1.1961624e-08
0.00183364317,9.09368751,9.72736141,9.46360037,11.5552685,8.54008098,9.32428801,0.880418613,0.501002942,8.00053954,8.0,0.0,1.32062909,3.04700878e-06,0.0055360657,0.101408211,2.34815292e-08
0.00193364317,9.55696509,10.1930524,9.88617835,12.1083566,8.97730295,9.76454408,0.925490115,0.523535954,8.00097633,8.0,0.0,1.38823798,7.33067265e-06,0.00579662568,0.106537019,5.61259185e-08
0.00203364317,10.0387929,10.6761849,10.3234813,12.6494952,9.44268505,10.2315834,0.973459964,0.547519644,8.00144124,8.0,0.0,1.46019704,1.86517093e-05,0.00596117908,0.109906782,1.4187641e-07
0.00213364317,10.5191411,11.1575662,10.7586022,13.1781503,9.9116223,10.7020422,1.02178435,0.571681303,8.00190971,8.0,0.0,1.53269457,4.77953961e-05,0.00607521645,0.112550557,3.61095948e-07
0.00223364317,10.9827509,11.6217881,11.1779586,13.6938001,10.366767,11.158437,1.06865872,0.595118279,8.0023644,8.0,0.0,1.60303276,0.0001190129,0.00615985106,0.115243864,8.936278e-07
0.00233364317,11.4119758,12.0515781,11.5660882,14.1959358,10.7898859,11.5834131,1.11217357,0.616875617,8.0027871,8.0,0.0,1.66836393,0.000277380677,0.00622090741,0.118752267,2.07244983e-06
0.00243364317,11.7870507,12.4269039,11.9049866,14.6840619,11.1610216,11.9569602,1.15023331,0.635905453,8.00315786,8.0,0.0,1.72556597,0.000580599366,0.00626029812,0.1239629,4.32526406e-06
0.00253364317,12.0952769,12.7353501,12.1835608,15.1576965,11.4672685,12.2667436,1.18148404,0.651530804,8.0034638,8.0,0.0,1.77262108,0.00106265272,0.00628008916,0.131411142,7.91364068e-06
0.00263364317,12.3393254,12.9793815,12.4040761,15.6163723,11.7108531,12.5144703,1.20616229,0.663869923,8.00370715,8.0,0.0,1.80988015,0.00170892753,0.00628472603,0.140997986,1.27514947e-05
0.00273364317,12.5314161,13.1714829,12.5778279,16.0596367,11.9034744,12.7117975,1.22550146,0.673539506,8.00389957,8.0,0.0,1.83917807,0.00247482204,0.00627941819,0.152175125,1.85319845e-05
0.00283364317,12.6849228,13.3248554,12.7166955,16.4870521,12.0580834,12.8711122,1.24086534,0.681221442,8.00405403,8.0,0.0,1.86254454,0.00331554682,0.00626839412,0.164360986,2.49406855e-05
0.00293364317,12.8101374,13.4500034,12.8301552,16.8981968,12.1846962,13.0024567,1.25330951,0.687443526,8.00418052,8.0,0.0,1.88155012,0.00419561641,0.00625441171,0.177079108,3.17236131e-05
0.00303364317,12.914422,13.5541263,12.9246713,17.292665,12.2905058,13.1127234,1.26359181,0.692584676,8.00428622,8.0,0.0,1.8973225,0.00509033176,0.00623916218,0.189997404,3.86996523e-05
0.00313364317,13.0027724,13.6423906,13.0049056,17.6700675,12.3804099,13.2069195,1.27222937,0.696903457,8.00437603,8.0,0.0,1.91063055,0.00598181794,0.00622362596,0.202870483,4.57323131e-05
0.00323364317,13.0824955,13.7219584,13.0772748,18.0300317,12.4616422,13.29215,1.27998839,0.700782965,8.00445719,8.0,0.0,1.92261217,0.00691478139,0.00620856476,0.215758893,5.31328988e-05
0.00333364317,13.1472021,13.7865785,13.1361631,18.3722024,12.5278309,13.362096,1.28619194,0.703884738,8.00452331,8.0,0.0,1.93226314,0.0077516183,0.00619372177,0.228094143,5.99025059e-05
0.00343364317,13.2045398,13.8437749,13.1884002,18.6962421,12.5865547,13.4242387,1.29164401,0.706610773,8.00458197,8.0,0.0,1.94077681,0.00856584854,0.00617987665,0.239940116,6.65606416e-05
0.00353364317,13.2551391,13.8942975,13.2345416,19.0018307,12.6384499,13.4793451,1.29641277,0.708995156,8.00463382,8.0,0.0,1.94825399,0.00934582906,0.00616689877,0.251299424,7.29883203e-05
0.00363364317,13.3000208,13.9390567,13.275512,19.2886669,12.6845325,13.5283375,1.30060665,0.711092095,8.00467985,8.0,0.0,1.95485526,0.0100847231,0.00615490302,0.262062452,7.91521673e-05
