 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         v(N012)         v(N013)         v(N014)         v(N015)         v(N016)         v(N017)         @ddiode7_1[id]  @ddiode7_2[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id]  @ddiode7_6[id]  @ddiode7_7[id]  @dled12_1[id]   @dled12_2[id]   @dled12_3[id]  
 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.00000000e+00  1.16481710e+00  7.47253762e+00  5.63245021e-08  8.99984187e+00  8.99992094e+00  8.99985244e+00  8.99999991e+00  8.99992618e+00  7.39560011e+00  1.16481109e+00  8.27924390e-01  1.41229878e-01  8.07671044e-08  7.40674936e+00  8.99999986e+00 -6.00630391e-09 -9.66118173e-12  9.66078568e-12  9.66118173e-12 -9.00985244e-12  9.00916378e-12  9.00985244e-12  7.25437023e-03  6.57942708e-05  6.01422802e-09 
 1.00000000e-05  1.00000000e-05  0.00000000e+00  9.00002000e+00  1.16482788e+00  7.47255747e+00  5.63256254e-08  8.99986187e+00  8.99994093e+00  8.99987243e+00  9.00001991e+00  8.99994617e+00  7.39561977e+00  1.16482186e+00  8.27924465e-01  1.41229874e-01  8.07682926e-08  7.40676901e+00  9.00001986e+00 -6.00764534e-09 -9.66150255e-12  9.66235473e-12  9.66150248e-12 -9.00987243e-12  9.01331233e-12  9.00987243e-12  7.25438990e-03  6.57944679e-05  6.01548077e-09 
 2.00000000e-05  2.00000000e-05  0.00000000e+00  9.00004000e+00  1.16483391e+00  7.47257731e+00  5.63267495e-08  8.99988187e+00  8.99996093e+00  8.99989244e+00  9.00003991e+00  8.99996617e+00  7.39563944e+00  1.16482790e+00  8.27924540e-01  1.41229871e-01  8.07694816e-08  7.40678865e+00  9.00003986e+00 -6.00834709e-09 -9.66182356e-12  9.66103738e-12  9.66182349e-12 -9.00989243e-12  9.00896129e-12  9.00989244e-12  7.25440957e-03  6.57946643e-05  6.01618244e-09 
 4.00000000e-05  4.00000000e-05  0.00000000e+00  9.00008000e+00  1.16484067e+00  7.47261700e+00  5.63289985e-08  8.99992186e+00  9.00000094e+00  8.99993244e+00  9.00007991e+00  9.00000618e+00  7.39567876e+00  1.16483466e+00  8.27924690e-01  1.41229863e-01  8.07718602e-08  7.40682795e+00  9.00007986e+00 -6.00913307e-09 -9.66246597e-12  9.66076346e-12  9.66246569e-12 -9.00993244e-12  9.00942427e-12  9.00993244e-12  7.25444890e-03  6.57950565e-05  6.01696843e-09 
 8.00000000e-05  8.00000000e-05  0.00000000e+00  9.00016000e+00  1.16484180e+00  7.47269637e+00  5.63334993e-08  9.00000184e+00  9.00008092e+00  9.00001242e+00  9.00015991e+00  9.00008616e+00  7.39575742e+00  1.16483578e+00  8.27924990e-01  1.41229849e-01  8.07766204e-08  7.40690654e+00  9.00015986e+00 -6.00926407e-09 -9.66375209e-12  9.66677213e-12  9.66375100e-12 -9.01001242e-12  9.01377913e-12  9.01001242e-12  7.25452757e-03  6.57958396e-05  6.01709956e-09 
 1.60000000e-04  1.60000000e-04  0.00000000e+00  9.00032000e+00  1.16484149e+00  7.47285513e+00  5.63425179e-08  9.00016180e+00  9.00024090e+00  9.00017242e+00  9.00031991e+00  9.00024616e+00  7.39591472e+00  1.16483548e+00  8.27925591e-01  1.41229820e-01  8.07861576e-08  7.40706373e+00  9.00031986e+00 -6.00922804e-09 -9.66633109e-12  9.66413496e-12  9.66632669e-12 -9.01017242e-12  9.00873139e-12  9.01017242e-12  7.25468490e-03  6.57974055e-05  6.01706392e-09 
 3.20000000e-04  3.20000000e-04  0.00000000e+00  9.00064000e+00  1.16484168e+00  7.47317263e+00  5.63606214e-08  9.00048174e+00  9.00056088e+00  9.00049244e+00  9.00063991e+00  9.00056619e+00  7.39622933e+00  1.16483566e+00  8.27926792e-01  1.41229761e-01  8.08052986e-08  7.40737810e+00  9.00063986e+00 -6.00924966e-09 -9.67151591e-12  9.67047330e-12  9.67149824e-12 -9.01049244e-12  9.00967735e-12  9.01049244e-12  7.25499958e-03  6.58005373e-05  6.01708567e-09 
 6.40000000e-04  6.40000000e-04  0.00000000e+00  9.00128000e+00  1.16484155e+00  7.47380765e+00  5.63970876e-08  9.00112154e+00  9.00120077e+00  9.00113242e+00  9.00127991e+00  9.00120617e+00  7.39685855e+00  1.16483553e+00  8.27929194e-01  1.41229644e-01  8.08438397e-08  7.40800685e+00  9.00127986e+00 -6.00923349e-09 -9.68199124e-12  9.68136964e-12  9.68191986e-12 -9.01113242e-12  9.01013312e-12  9.01113242e-12  7.25562893e-03  6.58068010e-05  6.01707027e-09 
 1.28000000e-03  1.28000000e-03  0.00000000e+00  9.00256000e+00  1.16484170e+00  7.47507767e+00  5.64710868e-08  9.00240122e+00  9.00248062e+00  9.00241241e+00  9.00255991e+00  9.00248617e+00  7.39811699e+00  1.16483568e+00  8.27933998e-01  1.41229410e-01  8.09219887e-08  7.40926436e+00  9.00255986e+00 -6.00924928e-09 -9.70337753e-12  9.70133757e-12  9.70308640e-12 -9.01241241e-12  9.01166113e-12  9.01241241e-12  7.25688769e-03  6.58193288e-05  6.01708746e-09 
 2.28000000e-03  2.28000000e-03  0.00000000e+00  9.00456000e+00  1.16484161e+00  7.47706210e+00  5.65903172e-08  9.00440065e+00  9.00448033e+00  9.00441236e+00  9.00455991e+00  9.00448614e+00  7.40008330e+00  1.16483559e+00  8.27941502e-01  1.41229045e-01  8.10477031e-08  7.41122920e+00  9.00455986e+00 -6.00923705e-09 -9.73798776e-12  9.73568485e-12  9.73725203e-12 -9.01441236e-12  9.01357333e-12  9.01441236e-12  7.25885453e-03  6.58389040e-05  6.01707722e-09 
