class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
Battery,,1,edge:1:diagram_to_component:2.1,2.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:2.1,,
Fuse,,1,edge:1:diagram_to_component:8.1,8.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:8.1,,
Meter,,1,edge:1:diagram_to_component:15.1,15.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:15.1,,
Switch,,1,edge:1:diagram_to_component:25.1,25.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:25.1,,
Meter,,1,edge:1:diagram_to_component:15.2,15.2,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:15.2,,
Variable_Resistor,,1,edge:1:diagram_to_component:30.1,30.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:30.1,,
LED,,1,edge:1:diagram_to_component:12.1,12.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:12.1,,
Motor,,1,edge:1:diagram_to_component:17.1,17.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:17.1,,
Inductor,,1,edge:1:diagram_to_component:10.1,10.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:10.1,,
Thermistor,,1,edge:1:diagram_to_component:27.1,27.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:27.1,,
Capacitor,,1,edge:1:diagram_to_component:4.1,4.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:4.1,,
Diode,,1,edge:1:diagram_to_component:7.1,7.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:7.1,,
Terminal,,1,edge:1:diagram_to_component:26.1,26.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:26.1,,
Lamp,,1,edge:1:diagram_to_component:13.1,13.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:13.1,,
,,1,edge:1:diagram_to_net:N1,,,,,,,N1,1,HAS_NET,,,diagram:1,net:1:N1,,
,,1,edge:1:diagram_to_net:N2,,,,,,,N2,2,HAS_NET,,,diagram:1,net:1:N2,,
,,1,edge:1:diagram_to_net:N3,,,,,,,N3,3,HAS_NET,,,diagram:1,net:1:N3,,
,,1,edge:1:diagram_to_net:N4,,,,,,,N4,4,HAS_NET,,,diagram:1,net:1:N4,,
,,1,edge:1:diagram_to_net:N5,,,,,,,N5,5,HAS_NET,,,diagram:1,net:1:N5,,
,,1,edge:1:diagram_to_net:N6,,,,,,,N6,6,HAS_NET,,,diagram:1,net:1:N6,,
,,1,edge:1:diagram_to_net:N7,,,,,,,N7,7,HAS_NET,,,diagram:1,net:1:N7,,
,,1,edge:1:diagram_to_net:N8,,,,,,,N8,8,HAS_NET,,,diagram:1,net:1:N8,,
,,1,edge:1:diagram_to_net:N9,,,,,,,N9,9,HAS_NET,,,diagram:1,net:1:N9,,
,,1,edge:1:diagram_to_net:N10,,,,,,,N10,10,HAS_NET,,,diagram:1,net:1:N10,,
,,1,edge:1:diagram_to_net:N11,,,,,,,N11,11,HAS_NET,,,diagram:1,net:1:N11,,
,,1,edge:1:component:2.1:terminal:2.1:t1,2.1,,,,,,,,HAS_TERMINAL,top,,component:1:2.1,terminal:1:2.1:t1,2.1:t1,t1
,,1,edge:1:component:2.1:terminal:2.1:t2,2.1,,,,,,,,HAS_TERMINAL,bottom,,component:1:2.1,terminal:1:2.1:t2,2.1:t2,t2
,,1,edge:1:component:8.1:terminal:8.1:t1,8.1,,,,,,,,HAS_TERMINAL,left,,component:1:8.1,terminal:1:8.1:t1,8.1:t1,t1
,,1,edge:1:component:8.1:terminal:8.1:t2,8.1,,,,,,,,HAS_TERMINAL,right,,component:1:8.1,terminal:1:8.1:t2,8.1:t2,t2
,,1,edge:1:component:15.1:terminal:15.1:t1,15.1,,,,,,,,HAS_TERMINAL,top,,component:1:15.1,terminal:1:15.1:t1,15.1:t1,t1
,,1,edge:1:component:15.1:terminal:15.1:t2,15.1,,,,,,,,HAS_TERMINAL,bottom,,component:1:15.1,terminal:1:15.1:t2,15.1:t2,t2
,,1,edge:1:component:25.1:terminal:25.1:t1,25.1,,,,,,,,HAS_TERMINAL,left,,component:1:25.1,terminal:1:25.1:t1,25.1:t1,t1
,,1,edge:1:component:25.1:terminal:25.1:t2,25.1,,,,,,,,HAS_TERMINAL,right,,component:1:25.1,terminal:1:25.1:t2,25.1:t2,t2
,,1,edge:1:component:15.2:terminal:15.2:t1,15.2,,,,,,,,HAS_TERMINAL,left,,component:1:15.2,terminal:1:15.2:t1,15.2:t1,t1
,,1,edge:1:component:15.2:terminal:15.2:t2,15.2,,,,,,,,HAS_TERMINAL,right,,component:1:15.2,terminal:1:15.2:t2,15.2:t2,t2
