class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
Voltage_Source,,1,edge:1:diagram_to_component:31.1,31.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:31.1,,
GND,,1,edge:1:diagram_to_component:9.1,9.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:9.1,,
Resistor,,1,edge:1:diagram_to_component:22.1,22.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:22.1,,
Mosfet,,1,edge:1:diagram_to_component:16.1,16.1,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:16.1,,
GND,,1,edge:1:diagram_to_component:9.2,9.2,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:9.2,,
GND,,1,edge:1:diagram_to_component:9.3,9.3,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:9.3,,
Mosfet,,1,edge:1:diagram_to_component:16.2,16.2,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:16.2,,
Resistor,,1,edge:1:diagram_to_component:22.2,22.2,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:22.2,,
GND,,1,edge:1:diagram_to_component:9.4,9.4,,,,,,,,HAS_COMPONENT,,,diagram:1,component:1:9.4,,
,,1,edge:1:diagram_to_net:N1,,,,,,,N1,1,HAS_NET,,,diagram:1,net:1:N1,,
,,1,edge:1:diagram_to_net:N2,,,,,,,N2,2,HAS_NET,,,diagram:1,net:1:N2,,
,,1,edge:1:diagram_to_net:N3,,,,,,,N3,3,HAS_NET,,,diagram:1,net:1:N3,,
,,1,edge:1:diagram_to_net:N4,,,,,,,N4,4,HAS_NET,,,diagram:1,net:1:N4,,
,,1,edge:1:diagram_to_net:N5,,,,,,,N5,5,HAS_NET,,,diagram:1,net:1:N5,,
,,1,edge:1:diagram_to_net:N6,,,,,,,N6,6,HAS_NET,,,diagram:1,net:1:N6,,
,,1,edge:1:diagram_to_net:N7,,,,,,,N7,7,HAS_NET,,,diagram:1,net:1:N7,,
,,1,edge:1:diagram_to_net:N8,,,,,,,N8,8,HAS_NET,,,diagram:1,net:1:N8,,
