time,v(H1_GATE),v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),@ddiode7_1[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id]
0.0,11.9870626,6.05113567e-06,0.0181639466,0.0,11.987064,3.08263687e-07,1.2633305,0.640512086,11.9999871,12.0,0.0,1.39253211,-4.32478898e-09,-1.40119858e-08,-1.40119858e-08,0.000286855779
1e-06,11.9870672,0.00660015499,0.0181717003,0.00666432322,11.9870641,0.00666361455,1.26333303,0.640517157,11.9999871,12.0,0.0,1.39253461,1.63286377e-07,3.17060907e-08,3.22179916e-08,0.000286827574
2e-06,11.9870673,0.0132628474,0.0181719051,0.0133286458,11.9870641,0.0133279367,1.2633331,0.640517291,11.9999871,12.0,0.0,1.39253467,1.67761926e-07,3.22258042e-08,3.22375952e-08,0.000286826829
4e-06,11.9870673,0.026589806,0.0181721403,0.0266572863,11.9870641,0.0266565768,1.26333317,0.640517445,11.9999871,12.0,0.0,1.39253475,1.74878531e-07,3.22730868e-08,3.22732373e-08,0.000286825974
8e-06,11.9870673,0.0532408148,0.0181730153,0.0533145305,11.9870641,0.0533138197,1.26333346,0.640518017,11.9999871,12.0,0.0,1.39253503,1.91093789e-07,3.22871516e-08,3.23089328e-08,0.000286822789
1.6e-05,11.9870673,0.106530314,0.0181764828,0.106628724,11.9870641,0.106628011,1.26333459,0.640520284,11.9999871,12.0,0.0,1.39253615,2.65818675e-07,3.23946629e-08,3.24161752e-08,0.000286810166
3.2e-05,11.9870674,0.212898285,0.0182127663,0.213254754,11.9870641,0.213254037,1.26334638,0.640543996,11.9999871,12.0,0.0,1.3925478,1.04782881e-06,3.23913633e-08,3.25958481e-08,0.000286678057
5.07796436e-05,11.9870674,0.334931506,0.0186488042,0.33839761,11.9870643,0.338396888,1.2634878,0.640828757,11.9999871,12.0,0.0,1.39268752,1.04727159e-05,3.07097572e-08,3.28342187e-08,0.00028509371
6.88635169e-05,11.9870673,0.434707006,0.0214984325,0.458892944,11.9870654,0.458892217,1.26439802,0.64268107,11.9999871,12.0,0.0,1.39358679,7.32870728e-05,1.89775373e-08,3.30415053e-08,0.000274896425
8.89399334e-05,11.9870688,0.507368774,0.0293666564,0.592647351,11.9870683,0.592646618,1.26678489,0.647714937,11.9999871,12.0,0.0,1.39594493,0.000258416683,4.14978547e-09,3.32987511e-08,0.000248155309
0.000116473011,11.9870728,0.567623337,0.0431635957,0.7760406,11.9870729,0.77603986,1.2705232,0.656234221,11.9999871,12.0,0.0,1.39963826,0.000633008179,-1.16284591e-09,3.36276168e-08,0.000206275199
0.000169201283,11.9870785,0.635739042,0.0678402595,1.12708111,11.9870793,1.12708035,1.27581952,0.670304052,11.9999871,12.0,0.0,1.40487085,0.00149314319,-8.50794565e-09,3.43025283e-08,0.000146937308
0.000228744785,11.9870829,0.685801682,0.0912729987,1.52311747,11.9870836,1.5231167,1.27931092,0.681801281,11.9999871,12.0,0.0,1.40832023,0.00253749211,-7.54192393e-09,3.50619273e-08,0.000107821937
0.000328744785,11.9870865,0.751962233,0.129872216,2.18696885,11.9870876,2.18696805,1.28244826,0.695084987,11.9999871,12.0,0.0,1.41141982,0.00441140437,-1.10366176e-08,3.64123473e-08,7.28351355e-05
0.000428744785,11.9870899,0.907952927,0.271332336,2.84866196,11.9870894,2.84866113,1.28382002,0.702659377,11.9999871,12.0,0.0,1.41277507,0.00588093337,5.38326854e-09,3.78324089e-08,5.73051063e-05
0.000528744785,11.9870955,1.53957894,0.90195083,3.50754378,11.9870896,3.50754291,1.28382949,0.702706101,11.9999871,12.0,0.0,1.41278443,0.00596662444,5.86826414e-08,3.93526194e-08,5.72226288e-05
0.000628744785,11.9870904,2.16966057,1.53168188,4.16296408,11.9870897,4.16296322,1.28382714,0.702702336,11.9999871,12.0,0.0,1.41278211,0.0060404604,7.72886743e-09,4.09752295e-08,5.7225751e-05
0.000728744785,11.9870959,2.79641241,2.15758319,4.81427603,11.98709,4.81427514,1.28382716,0.702702346,11.9999871,12.0,0.0,1.41278213,0.00611560923,6.09532955e-08,4.27394135e-08,5.7225774e-05
0.000828744785,11.9870909,3.41860463,2.77940038,5.46083688,11.9870901,5.46083595,1.28382717,0.702702352,11.9999871,12.0,0.0,1.41278214,0.00618875431,1.00169823e-08,4.46585365e-08,5.72257855e-05
0.000928744785,11.9870964,4.03559305,3.39560355,6.10200854,11.9870903,6.10200756,1.28382719,0.702702362,11.9999871,12.0,0.0,1.41278217,0.00626261526,6.33572071e-08,4.67869076e-08,5.72258081e-05
0.00102874479,11.9870915,4.64680522,4.00642662,6.73715825,11.9870904,6.73715723,1.2838272,0.702702368,11.9999871,12.0,0.0,1.41278218,0.0063345913,1.25784773e-08,4.91594931e-08,5.72258193e-05
0.00112874479,11.987097,5.25159878,4.61049384,7.3656592,11.9870906,7.36565813,1.28382722,0.702702378,11.9999871,12.0,0.0,1.4127822,0.00640688991,6.60864905e-08,5.1861307e-08,5.72258416e-05
0.00122874479,11.987092,5.84941855,5.20791805,7.98689114,11.9870907,7.98689001,1.28382723,0.702702383,11.9999871,12.0,0.0,1.41278221,0.00647738682,1.55345759e-08,5.49733248e-08,5.72258525e-05
0.00132874479,11.9870976,6.43963063,5.79745746,8.60024098,11.9870909,8.60023978,1.28382725,0.702702393,11.9999871,12.0,0.0,1.41278223,0.00654785956,6.92943928e-08,5.86511476e-08,5.72258746e-05
0.00142874479,11.9870926,7.02169854,6.37912961,9.20510341,11.987091,9.20510214,1.28382726,0.702702398,11.9999871,12.0,0.0,1.41278224,0.00661657746,1.90813819e-08,6.30903587e-08,5.72258852e-05
0.00152874479,11.9870982,7.59500001,6.95180779,9.80088153,11.9870912,9.80088016,1.28382728,0.702702409,11.9999871,12.0,0.0,1.41278227,0.00668496453,7.32357617e-08,6.86425492e-08,5.7225907e-05
